struct_idx	county	phillimore	cobs_1086	cobs_1066	cattle_1086	cattle_1066	cows_1086	cows_1066	pigs_1086	pigs_1066	sheep_1086	sheep_1066	goats_1086	goats_1066	beehives_1086	beehives_1066	wild_mares_1086	wild_mares_1066	other_1086	other_code_1086	other_1066	other_code_1066
4182	SOM	"24,25"	1		10				20		50		
4183	SOM	"24,26"			8				10		20		
4184	SOM	"24,27"	1		11				13		100		
4185	SOM	"24,28"			8				20		28		
4186	SOM	"24,29"			10				4		53		
4187	SOM	"24,30"			2				2		120		70
4188	SOM	"24,31"			2								
4190	SOM	"24,33"			10				19		45		
4191	SOM	"24,34"			12				18		80		
4192	SOM	"24,35"			5				10				
4196	SOM	"25,1"	3		5				15		74		
4198	SOM	"25,3"			3				1				
4199	SOM	"25,4"	1										
4200	SOM	"25,5"	1		6						24		
4202	SOM	"25,7"	1		8				5		107		12
4203	SOM	"25,8"	1		8				20		100		30
4204	SOM	"25,9"	2		5				3		300		47
4205	SOM	"25,10"	1		16				10		300									
4206	SOM	"25,11"	1		5						200									
4207	SOM	"25,12"	2		15				23		200		44							
4208	SOM	"25,13"			8				3		75		34							
4209	SOM	"25,14"			15								20						42	wethers
4211	SOM	"25,16"	2		4						60									
4212	SOM	"25,17"			1															
4216	SOM	"25,21"			4						20									
4217	SOM	"25,22"			6				8		50		20							
4218	SOM	"25,23"			4															
4219	SOM	"25,24"									107		50							
4220	SOM	"25,25"			12								60							
4221	SOM	"25,26"			20				16		120									
4222	SOM	"25,27"			6				12		100									
4224	SOM	"25,29"	2		6				8		200									
4225	SOM	"25,30"	4		8				12		152		5							
4226	SOM	"25,31"	2		4				6		80									
3453	DOR	"41,5"							14		85		5							
3466	DOR	"47,1"			4				8											
3467	DOR	"47,2"			3				15											
3468	DOR	"47,3"			5				5										12	unbroken mares
3469	DOR	"47,4"							15		140									
3470	DOR	"47,5"					2		5		136									
3471	DOR	"47,6"	2		4				13		158		16							
3472	DOR	"47,7"					2		17		60									
3473	DOR	"47,8"			13				32		108		32						1	mares
3474	DOR	"47,9"							13		250									
3479	DOR	"48,1"	1		10						393									
3480	DOR	"48,2"									50									
3528	DOR	"55,1"	1						8		380									
3529	DOR	"55,2"	1		15				30		250									
3530	DOR	"55,3"									50									
3531	DOR	"55,4"	1						4		200									
3532	DOR	"55,5"	1				2		9		130									
3533	DOR	"55,6"	1								330									
3534	DOR	"55,7"			3						100									
3536	DOR	"55,9"	1				6		10		304									
3538	DOR	"55,11"							5		100									
3542	DOR	"55,15"	1		10				28		45									
3544	DOR	"55,16"	2		20				20		80		40						24	12 mares with their foals
3545	DOR	"55,17"									300									
2811	WIL	"34,1"	1								300									
3093	DOR	"1,1"	3		14				27		900									
3094	DOR	"1,2"	6		9				108		800									
3095	DOR	"1,3"	3						30		250		44							
3096	DOR	"1,4"	5		20				72		800		40							
3097	DOR	"1,5"	2		16				25		400		36							
3098	DOR	"1,6"	2						50		300		6							
3100	DOR	"1,7"	1		7				10		48		
3101	DOR	"1,8"	4		17				60		1600		60
3102	DOR	"1,9"	1						13		105		
3103	DOR	"1,10"	2				4		10		50		50
3104	DOR	"1,11"	1		3				4		144		
3105	DOR	"1,12"	2		3						500		13
3106	DOR	"1,13"	2						16		93		
3107	DOR	"1,14"	1								100		
3109	DOR	"1,15"	2		19						400		50
3110	DOR	"1,16"	4				10		51		1037		40
3111	DOR	"1,17"	3		10				27		826		50
3112	DOR	"1,18"			8						22		
3113	DOR	"1,19"	1		15				11		40		
3114	DOR	"1,20"					2		2		40		
3115	DOR	"1,21"			2				10		127		30
3119	DOR	"1,24"	1						30		290		
3121	DOR	"1,26"							15		60
3122	DOR	"1,27"							20		120
3123	DOR	"1,28"			4						80
3184	DOR	"11,1"	3		6				14		500
3185	DOR	"11,2"					2				160
3186	DOR	"11,3"	1						20		100
3187	DOR	"11,4"	1						17		26
3188	DOR	"11,5"	1				2		12		12
3989	SOM	"19,54"			6				3		60
3990	SOM	"19,55"									66
3991	SOM	"19,56"							11		106
3992	SOM	"19,57"	2		7		4		34		260
3993	SOM	"19,58"	1						20		20
3994	SOM	"19,59"							5		85
3995	SOM	"19,60"					3		12		162
3997	SOM	"19,62"	1		11				15		55
3998	SOM	"19,63"	1		11				20				70
3999	SOM	"19,64"			12				13		129		25
4000	SOM	"19,65"							20				
4001	SOM	"19,66"	1		10				15				
4003	SOM	"19,68"			2				10		100		22
4004	SOM	"19,69"	2		8				10				
4005	SOM	"19,70"	1				2		15		50		
4006	SOM	"19,71"	1				1		20				
4007	SOM	"19,72"	1						16				
4010	SOM	"19,75"							20		115		
4011	SOM	"19,76"	1						1		30		
4012	SOM	"19,77"									30		
4013	SOM	"19,78"							4				
4014	SOM	"19,79"	1		7				24		64		
4015	SOM	"19,80"	1		11				24		115		
4016	SOM	"19,81"			3						50		
4017	SOM	"19,82"	1				1				60		
4019	SOM	"19,84"			5				5		95		
4020	SOM	"19,85"			5				35		25		
4021	SOM	"19,86"	1								100		
4022	SOM	"19,87"	1		6				15				
4024	SOM	"20,1"	2		19				23		245		58
4028	SOM	"21,1"	1						9		23		
4029	SOM	"21,2"							8		22		
4030	SOM	"21,3"			21				20		50		
4031	SOM	"21,4"	1		15								
4032	SOM	"21,5"					1		2		12		
4033	SOM	"21,6"							6		52		
4034	SOM	"21,7"			4				7		12		
4035	SOM	"21,8"			6				7		30		
4039	SOM	"21,12"	1				1		11		80		30
4041	SOM	"21,14"			4						39		20
4042	SOM	"21,15"							3				
4044	SOM	"21,17"			1								
4046	SOM	"21,19"			12				3		4		12
4049	SOM	"21,22"			10				9		10		
4050	SOM	"21,23"			8				12				
4051	SOM	"21,24"			8				12				
4052	SOM	"21,25"			2				7		16		
4054	SOM	"21,27"	1		10						80		
4056	SOM	"21,29"			10				8		50		24
4059	SOM	"21,32"			3						20		
4060	SOM	"21,33"			3				3				3
4064	SOM	"21,37"			6						48		
4065	SOM	"21,38"									66		
4068	SOM	"21,41"									50		
3189	DOR	"11,6"	1				2		6		200		
3190	DOR	"11,7"							4				
3193	DOR	"11,10"							12		550									
3194	DOR	"11,11"							12		116		18							
3195	DOR	"11,12"	1						15		353		20							
3196	DOR	"11,13"									25		5							
3197	DOR	"11,14"									16		5							
3198	DOR	"11,15"	1				2		16		250									
3199	DOR	"11,16"	1				2		12				8						250	wethers
3200	DOR	"11,17"	1								100		12							
3202	DOR	"12,1"	3		10						250									
3203	DOR	"12,2"	2						20		450		50							
3204	DOR	"12,3"	1								150									
3205	DOR	"12,4"	2						14		150									
3206	DOR	"12,5"	1		3						115									
3208	DOR	"12,7"	2						3		127									
3209	DOR	"12,8"	1								86									
3210	DOR	"12,9"					1		3		50									
3211	DOR	"12,10"	1						8		60		16
3213	DOR	"12,12"	1				4				224		
3547	DOR	"55,19"			17				7		8		
3548	DOR	"55,20"			15				7		25		
3549	DOR	"55,21"					1		6		40		20
3550	DOR	"55,22"	1		12				13		153		
3552	DOR	"55,24"									24		
3554	DOR	"55,26"							14				
3555	DOR	"55,27"					1				172		
3556	DOR	"55,28"			2						88		
3557	DOR	"55,29"			2				20		120		
3559	DOR	"55,31"	1						6		170		
3561	DOR	"55,33"			3						302		
3562	DOR	"55,34"									93		
3563	DOR	"55,35"							10		200		
3564	DOR	"55,36"	1		4				10		53		
3565	DOR	"55,37"	1										
3566	DOR	"55,38"	1		6				20		103		
3568	DOR	"55,40"	1								16		
3569	DOR	"55,41"			4								
3570	DOR	"55,42"							5		20		
3671	DOR	"58,2"					5		16		105		
3676	SOM	"1,1"	2						9		500		
3677	SOM	"1,2"			6				15		100		
