place_id	struct_idx	sub_idx	county	phillimore	area	hundred	std_hundred	vill	std_vill	grid	m_type	holding	units	waste_86	places_idx	phillimore_with_new_yks	county_name	country
140530	12636	1	CHS	"9,16"		{Tunendune}	Tunendune	[Nether and Over] Peover	Nether and Over Peover	SJ7474	[M]	0.66	geld	Y	48831	"9,16"		UK
140540	12637	1	CHS	"9,17"		(Tunendune}	Tunendune	Halton	Halton	SJ5381	[M]	10	geld	N	28676	"9,17"		UK
140550	12638	1	CHS	"9,18"		Bucklow	Bucklow	Weston	Weston	SJ5080	[M]	2	geld	N	68836	"9,18"		UK
140560	12639	1	CHS	"9,19"		Bucklow	Bucklow	Aston [by Sutton]	Aston by Sutton	SJ5578	[M]	1	geld	N	3091	"9,19"		UK
140570	12640	1	CHS	"9,20"		Bucklow	Bucklow	Norton	Norton	SJ5581	[M]	2	geld	N	46091	"9,20"		UK
140580	12641	1	CHS	"9,21"		Bucklow	Bucklow	Eanley	Eanley	SJ5681	[M]	0.5	geld	Y	21781	"9,21"		UK
140590	12642	1	CHS	"9,22"		{Tunendune}	Tunendune	Dutton	Dutton	SJ5779	[M]	0.12	geld	N	21711	"9,22"		UK
140600	12643	1	CHS	"9,23"		Bucklow	Bucklow	[Little] Leigh	Little Leigh	SJ6175	[M]	1	geld	N	38681	"9,23"		UK
140610	12644	1	CHS	"9,24"		Bucklow	Bucklow	Aston [by Budworth]	Aston by Budworth	SJ6778	[M]	0.62	geld	N	3076	"9,24"		UK
140620	12645	1	CHS	"9,25"		Bucklow	Bucklow	[Great] Budworth	Great Budworth	SJ6677	[M]	1	geld	N	11281	"9,25"		UK
140630	12646	1	CHS	"9,26"		Bucklow	Bucklow	[Higher and Lower] Whitley	Higher and Lower Whitley	SJ6178	[M]	2	geld	N	69736	"9,26"		UK
140640	12647	1	CHS	"9,27"		Middlewich	Middlewich	Goostrey	Goostrey	SJ7770	[M]	0.25	geld	Y	27231	"9,27"		UK
140650	12648	1	CHS	"9,28"		{Hamestan}	Hamestan	[Over] Alderley	Over Alderley	SJ8676	[M]	1	geld	Y	811	"9,28"		UK
140660	12649	1	CHS	"9,29"		Middlewich	Middlewich	Lach [Dennis]	Lach Dennis	SJ7071	[M]	0.5	geld	Y	37206	"9,29"		UK
140680	12651	1	CHS	"10,1"		Chester	Chester	Overleigh	Overleigh	SJ4065	[M]	0.25	geld	N	47676	"10,1"		UK
140690	12652	1	CHS	"10,2"		Chester	Chester	Handbridge	Handbridge	SJ4164	[M]	1	carucates	N	29061	"10,2"		UK
140700	12653	1	CHS	"10,3"		Chester	Chester	`Redcliff'	Redcliff	SJ4166	[M]	0.33	geld	N	51396	"10,3"		UK
140710	12654	1	CHS	"10,4"		Willaston	Willaston	[Great] Caldy	Great Caldy	SJ2286	[M]	1	geld	N	12686	"10,4"		UK
140730	12656	1	CHS	"11,1"		Middlewich	Middlewich	[Church] Lawton and [Bug]lawton	Church Lawton and Buglawton	SJ8255	[M]	1	geld	Y	38126	"11,1"		UK
140740	12657	1	CHS	"11,2"		Middlewich	Middlewich	[Church] Lawton and [Bug]lawton	Church Lawton and Buglawton	SJ8255	[M]	0.5	geld	Y	38126	"11,2"		UK
140750	12658	1	CHS	"11,3"		Middlewich	Middlewich	Byley	Byley	SJ7269	[M]	1	geld	N	12376	"11,3"		UK
140760	12659	1	CHS	"11,4"		Middlewich	Middlewich	Goostrey	Goostrey	SJ7770	[M]	0.75	geld	Y	27231	"11,4"		UK
140770	12660	1	CHS	"11,5"		{Hamestan}	Hamestan	Bosley	Bosley	SJ9165	[M]	0.5	geld	Y	8276	"11,5"		UK
140780	12661	1	CHS	"11,6"		{Hamestan}	Hamestan	Marton	Marton	SJ8468	M	0.25	geld	Y	41916	"11,6"		UK
140790	12662	1	CHS	"11,7"		{Hamestan}	Hamestan	Kermincham	Kermincham	SJ7967	B	0.5	geld	Y	35696	"11,7"		UK
140800	12663	1	CHS	"11,8"		Middlewich	Middlewich	Somerford	Somerford	SJ8165	[M]	0.5	geld	Y	57026	"11,8"		UK
140820	12665	1	CHS	"12,1"		Chester	Chester	Handbridge	Handbridge	SJ4164	x	1	carucates	N	29061	"12,1"		UK
140830	12666	1	CHS	"12,2"		`Duddeston'	Duddeston	Caldecott	Caldecott	SJ4352	[M]	1	geld	N	12626	"12,2"		UK
140840	12667	1	CHS	"12,3"		`Duddeston'	Duddeston	Pulford	Pulford	SJ3859	[M]	1.5	geld	N	50416	"12,3"		UK
